
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
125,,Surface,2,Image 1,1,0,
159,,Surface,2,Image 1,1,1,
115,,Surface,2,Image 1,1,2,
201,,Surface,2,Image 1,1,3,
145,,Surface,2,Image 1,1,4,
120,,Surface,2,Image 1,1,5,
161,,Surface,2,Image 1,1,6,
202,,Surface,2,Image 1,1,7,
120,,Surface,2,Image 1,1,8,
183,,Surface,2,Image 1,1,9,
145,,Surface,2,Image 1,1,10,
180,,Surface,2,Image 1,1,11,
193,,Surface,2,Image 1,1,12,
124,,Surface,2,Image 1,1,13,
140,,Surface,2,Image 1,1,14,
144,,Surface,2,Image 1,1,15,
144,,Surface,2,Image 1,1,16,
141,,Surface,2,Image 1,1,17,
190,,Surface,2,Image 1,1,18,
114,,Surface,2,Image 1,1,19,
123,,Surface,2,Image 1,1,20,
123,,Surface,2,Image 1,1,21,
148,,Surface,2,Image 1,1,22,
124,,Surface,2,Image 1,1,23,
119,,Surface,2,Image 1,1,24,
114,,Surface,2,Image 1,1,25,
155,,Surface,2,Image 1,1,26,
112,,Surface,2,Image 1,1,27,
128,,Surface,2,Image 1,1,28,
114,,Surface,2,Image 1,1,29,
172,,Surface,2,Image 1,1,30,
254,,Surface,2,Image 1,1,31,
129,,Surface,2,Image 1,1,32,
157,,Surface,2,Image 1,1,33,
126,,Surface,2,Image 1,1,34,
168,,Surface,2,Image 1,1,35,
208,,Surface,2,Image 1,1,36,
120,,Surface,2,Image 1,1,37,
148,,Surface,2,Image 1,1,38,
117,,Surface,2,Image 1,1,39,
203,,Surface,2,Image 1,1,40,
195,,Surface,2,Image 1,1,41,
234,,Surface,2,Image 1,1,42,
125,,Surface,2,Image 1,1,43,
149,,Surface,2,Image 1,1,44,
114,,Surface,2,Image 1,1,45,
144,,Surface,2,Image 1,1,46,
183,,Surface,2,Image 1,1,47,
254,,Surface,2,Image 1,1,48,
135,,Surface,2,Image 1,1,49,
174,,Surface,2,Image 1,1,50,
208,,Surface,2,Image 1,1,51,
244,,Surface,2,Image 1,1,52,
130,,Surface,2,Image 1,1,53,
111,,Surface,2,Image 1,1,54,
254,,Surface,2,Image 1,1,55,
120,,Surface,2,Image 1,1,56,
114,,Surface,2,Image 1,1,57,
165,,Surface,2,Image 1,1,58,
252,,Surface,2,Image 1,1,59,
159,,Surface,2,Image 1,1,60,
230,,Surface,2,Image 1,1,61,
149,,Surface,2,Image 1,1,62,
174,,Surface,2,Image 1,1,63,
137,,Surface,2,Image 1,1,64,
159,,Surface,2,Image 1,1,65,
142,,Surface,2,Image 1,1,66,
129,,Surface,2,Image 1,1,67,
168,,Surface,2,Image 1,1,68,
150,,Surface,2,Image 1,1,69,
219,,Surface,2,Image 1,1,70,
219,,Surface,2,Image 1,1,71,
136,,Surface,2,Image 1,1,72,
118,,Surface,2,Image 1,1,73,
207,,Surface,2,Image 1,1,74,
131,,Surface,2,Image 1,1,75,
191,,Surface,2,Image 1,1,76,
137,,Surface,2,Image 1,1,77,
131,,Surface,2,Image 1,1,78,
168,,Surface,2,Image 1,1,79,
247,,Surface,2,Image 1,1,80,
240,,Surface,2,Image 1,1,81,
203,,Surface,2,Image 1,1,82,
161,,Surface,2,Image 1,1,83,
132,,Surface,2,Image 1,1,84,
188,,Surface,2,Image 1,1,85,
152,,Surface,2,Image 1,1,86,
184,,Surface,2,Image 1,1,87,
217,,Surface,2,Image 1,1,88,
130,,Surface,2,Image 1,1,89,
245,,Surface,2,Image 1,1,90,
240,,Surface,2,Image 1,1,91,
239,,Surface,2,Image 1,1,92,
126,,Surface,2,Image 1,1,93,
161,,Surface,2,Image 1,1,94,
141,,Surface,2,Image 1,1,95,
251,,Surface,2,Image 1,1,96,
197,,Surface,2,Image 1,1,97,
163,,Surface,2,Image 1,1,98,
207,,Surface,2,Image 1,1,99,
130,,Surface,2,Image 1,1,100,
141,,Surface,2,Image 1,1,101,
161,,Surface,2,Image 1,1,102,
142,,Surface,2,Image 1,1,103,
195,,Surface,2,Image 1,1,104,
119,,Surface,2,Image 1,1,105,
161,,Surface,2,Image 1,1,106,
162,,Surface,2,Image 1,1,107,
240,,Surface,2,Image 1,1,108,
248,,Surface,2,Image 1,1,109,
182,,Surface,2,Image 1,1,110,
120,,Surface,2,Image 1,1,111,
144,,Surface,2,Image 1,1,112,
168,,Surface,2,Image 1,1,113,
154,,Surface,2,Image 1,1,114,
111,,Surface,2,Image 1,1,115,
122,,Surface,2,Image 1,1,116,
147,,Surface,2,Image 1,1,117,
207,,Surface,2,Image 1,1,118,
169,,Surface,2,Image 1,1,119,
118,,Surface,2,Image 1,1,120,
126,,Surface,2,Image 1,1,121,
186,,Surface,2,Image 1,1,122,
138,,Surface,2,Image 1,1,123,
171,,Surface,2,Image 1,1,124,
123,,Surface,2,Image 1,1,125,
183,,Surface,2,Image 1,1,126,
140,,Surface,2,Image 1,1,127,
116,,Surface,2,Image 1,1,128,
179,,Surface,2,Image 1,1,129,
173,,Surface,2,Image 1,1,130,
141,,Surface,2,Image 1,1,131,
124,,Surface,2,Image 1,1,132,
190,,Surface,2,Image 1,1,133,
223,,Surface,2,Image 1,1,134,
241,,Surface,2,Image 1,1,135,
188,,Surface,2,Image 1,1,136,
250,,Surface,2,Image 1,1,137,
253,,Surface,2,Image 1,1,138,
205,,Surface,2,Image 1,1,139,
180,,Surface,2,Image 1,1,140,
141,,Surface,2,Image 1,1,141,
208,,Surface,2,Image 1,1,142,
152,,Surface,2,Image 1,1,143,
254,,Surface,2,Image 1,1,144,
198,,Surface,2,Image 1,1,145,
169,,Surface,2,Image 1,1,146,
114,,Surface,2,Image 1,1,147,
181,,Surface,2,Image 1,1,148,
206,,Surface,2,Image 1,1,149,
188,,Surface,2,Image 1,1,150,
132,,Surface,2,Image 1,1,151,
122,,Surface,2,Image 1,1,152,
223,,Surface,2,Image 1,1,153,
143,,Surface,2,Image 1,1,154,
178,,Surface,2,Image 1,1,155,
255,,Surface,2,Image 1,1,156,
140,,Surface,2,Image 1,1,157,
147,,Surface,2,Image 1,1,158,
120,,Surface,2,Image 1,1,159,
194,,Surface,2,Image 1,1,160,
142,,Surface,2,Image 1,1,161,
137,,Surface,2,Image 1,1,162,
255,,Surface,2,Image 1,1,163,
255,,Surface,2,Image 1,1,164,
151,,Surface,2,Image 1,1,165,
205,,Surface,2,Image 1,1,166,
177,,Surface,2,Image 1,1,167,
250,,Surface,2,Image 1,1,168,
191,,Surface,2,Image 1,1,169,
120,,Surface,2,Image 1,1,170,
157,,Surface,2,Image 1,1,171,
185,,Surface,2,Image 1,1,172,
242,,Surface,2,Image 1,1,173,
171,,Surface,2,Image 1,1,174,
248,,Surface,2,Image 1,1,175,
252,,Surface,2,Image 1,1,176,
190,,Surface,2,Image 1,1,177,
149,,Surface,2,Image 1,1,178,
249,,Surface,2,Image 1,1,179,
249,,Surface,2,Image 1,1,180,
215,,Surface,2,Image 1,1,181,
144,,Surface,2,Image 1,1,182,
152,,Surface,2,Image 1,1,183,
147,,Surface,2,Image 1,1,184,
113,,Surface,2,Image 1,1,185,
183,,Surface,2,Image 1,1,186,
236,,Surface,2,Image 1,1,187,
177,,Surface,2,Image 1,1,188,
142,,Surface,2,Image 1,1,189,
156,,Surface,2,Image 1,1,190,
140,,Surface,2,Image 1,1,191,
240,,Surface,2,Image 1,1,192,
150,,Surface,2,Image 1,1,193,
233,,Surface,2,Image 1,1,194,
149,,Surface,2,Image 1,1,195,
123,,Surface,2,Image 1,1,196,
251,,Surface,2,Image 1,1,197,
254,,Surface,2,Image 1,1,198,
166,,Surface,2,Image 1,1,199,
172,,Surface,2,Image 1,1,200,
162,,Surface,2,Image 1,1,201,
